Song,Film,Year
Apni To Jaise Taise,Laawaris,1981.0
Aa Ab Laut Chalen,Jis Desh Men Ganga Behti Hai,1960.0
Aa Ja Re Aa Zara Aa,Love In Tokyo,1966.0
Aa Ja Re Ab Mera Dil Pukaara,Aah,1953.0
Aa Ja Re Pardesi (Main To Kab Se),Madhumati,1958.0
Aa Ja Sanam Meri Jaan Chali,Khilaf,1991.0
Aa Jaane Jaan,Intaqam,1969.0
Aa Jao Aa Jaayo Naag Raaja Tum,Maqsad,1984.0
Aa Zara Kareeb Se,Murder 2,2011.0
Aadmi Musaafir Hai,Apnapan,1977.0
Aagaaz,Cypher,2019.0
Aage Bhi Jaane Na Tu,Waqt,1965.0
Aaiye Aap Ko Main Apne Bangle Ki Sair,Joroo Ka Ghulam,1972.0
Aaj Gaa Lo Muskura Lo,Lalkar,1972.0
Aaj Hamaare Dil Me (Samdhi Samdhan),Hum Aapke Hain Koun,1994.0
Aaj Ki Raat Koyi Aane Ko Hai,Anamika,1973.0
Aaj Madhosh Hua Jaaye Re,Sharmeelee,1971.0
Aaj Mausam Bada Beimaan Hai Bada,Loafer,1973.0
Aaj Na Chhodenge Bas Humjoli,Kati Patang,1971.0
Aaj Phir Jeene Ki Tamanna Hai,Guide,1965.0
Aa Ja Sanam Madhu Chandni Me Hum,Chori Chori,1956.0
Aan Milo Sajna (Title Song),Aan Milo Sajna,1970.0
Aana Hai To Aa Raah Me,Naya Daur,1957.0
Aane Se Us Ke Aaye Bahaar,Jeene Ki Raah,1969.0
Aane Waala Pal Jaane Waala Hai,Gol Maal,1979.0
Aankhen Mili,Sanak,2021.0
Aankhon Ankhon Me Baat Hone Do,Aankhon Aankhon Mein,1972.0
Aankhon Ki Gustakhiyan,Hum Dil De Chuke Sanam,1999.0
Aankhon Se Jo Utri Hai Dil Me,Phir Wohi Dil Laya Hoon,1963.0
Aao Chalen Hum Wahaan,Hungama 2,2021.0
Aao Na Gale Lagao Na,Mere Jeevan Saathi,1972.0
Aap Ke Kamre Me Koyi Rahta Hai,Yaadon Ki Baaraat,1973.0
Aap Ke Peechhe Pad Gayi Main,Ek Nari Ek Brahmachari,1971.0
Aap Ke Pahloon Me Aa Kar Ro Diye,Mera Saaya,1966.0
Aap Ke Pyar Me Hum,Raaz,2002.0
Aap Mujhe Achchhe Lagne Lage,Jeene Ki Raah,1969.0
Aap Yahaan Aaye Kis Liye,Kal Aaj Aur Kal,1971.0
Aashiqui Aa Gayi,Radhe Shyam,2022.0
Aate Jaate Hue Main Sab Pe Nazar,Shaan,1980.0
Aaya Aaya Atariya Pe Koyi Chor,Mera Gaon Mera Desh,1971.0
Aaya Hoon Main Tujh Ko Le Jaaunga,Manoranjan,1974.0
Aaya Na Hum Ko Pyar Jataana,Pehchan,1970.0
Aaya Saawan Jhoom Ke (Title Song),Aya Sawan Jhoom Ke,1969.0
Aayegi Jaroor Chithhi Mere Naam Ki,Dulhan,1974.0
Aayi Aayi Bhoot Police,Bhoot Police,2021.0
Ab Agar Hum Se Khudayi Bhi Khafa,Laila Majnu,1976.0
Ab Mera Kaun Sahaara,Barsaat,1949.0
Ab Raat Guzarne Waali Hai,Awaara,1951.0
Ab To Hai Tum Se Har Khushi Apni,Abhimaan,1973.0
A B C D Chhodo Naino Se Naina Jodo,Raja Jani,1972.0
